,RN,BC A,STD A,BC B,STD B
0,RN001,0.24994326960157295,0.010492387359142789,0.3630302324749139,0.004838100732234312
1,RN002,0.3024975744358851,0.0034687538238881927,0.37558935376626107,0.0023459918549321003
2,RN003,0.4933855244447989,0.00629033940699043,0.3749279594458774,0.00246472652361322
3,RN004,0.45012428574827307,0.0034182703036457255,0.3578436953499268,0.004017375118802979
4,RN005,0.3314919355177677,0.0033815118369824137,0.3914405801303049,0.0007051202980945782
5,RN006,0.3397113557631317,0.004555450291990182,0.260544996747141,0.005484835499310104
6,RN007,0.44442140864260243,0.008390254570183454,0.40561373849790505,0.005481843309343414
7,RN008,0.3755675626076684,0.0037729609736558045,0.2941099724757838,0.005830900260028773
8,RN009,0.28588551728168204,0.004071917243507417,0.3317787779141633,0.007661518987643564
9,RN010,0.6282310676635237,0.004013240600114514,0.4733545401954275,0.003029921808856629
10,RN011,0.3031190797296541,0.0031880518289675737,0.4315430876926472,0.0025320016683098826
11,RN012,0.44760008682221414,0.00839042191936473,0.276528607490438,0.004401573390339345
12,RN013,0.44680267807298235,0.003932639180765787,0.46814485620971746,0.006458166866317451
13,RN014,0.3789443780124164,0.00015889239894709286,0.5160409901326544,0.006210877549409974
14,RN015,0.48111934682945895,0.0034732251321311475,0.560738202467602,0.003968773237317785
15,RN016,0.4810181254187606,0.0016612007020505254,0.5510926923553398,0.0004077077119571301
16,RN017,0.4407753765942803,0.00978190259493617,0.3966458487405448,0.0036710074104874717
17,RN018,0.39688698350547513,0.00537034481906313,0.33204058118334734,0.004650901093090149
18,RN019,0.4219783561251007,0.0042761275088593525,0.3418078055775786,0.00273276896077491
19,RN020,0.441435978649217,0.007292674658743611,0.4295033034163578,0.0011928905543622072
20,RN021,0.44826454329158966,0.005840745259408086,0.4415412858525036,0.005416402848251687
21,RN022,0.43032844871875614,0.004625064681353011,0.5089014879174542,0.004221359984543185
22,RN023,0.3744078571235944,0.008734158464327764,0.33297001581183705,0.0026346902876038442
23,RN024,0.4151305824472992,0.009584857954054046,0.33957369692333517,0.0024632957865612704
24,RN025,0.39028117818395036,0.012764514281518929,0.6212285489093482,0.004139389230977328
25,RN026,0.294469033373799,0.002930907724690257,0.40048267282769884,0.001587349418626479
26,RN027,0.44160064320634174,0.007852376278774347,0.44373040549777537,0.0018470560658464816
27,RN028,0.45221819672291247,0.0029311832849589605,0.4495450478992758,0.003095251339315282
28,RN029,0.3738370869410334,0.0035056015132504154,0.33606475341744707,0.0010217473141472977
29,RN030,0.5919952899283372,0.002255938938500918,0.465271790024726,0.004550569435572402
30,RN031,0.4996388380030515,0.001016673965045405,0.3902947479173203,0.002284526018616853
31,RN032,0.3340550137515986,0.003864301822048624,0.5751742619093276,0.0018000004198844542
32,RN033,0.30693109635795685,0.008180437020070853,0.37145278491351635,0.005930319017431891
