RN,ConPr,ConPrA,ConPrB
RN001,0.8584630869412716,0.7420685377577919,0.7955556648066665
RN002,0.7938225428206727,0.7705385668644454,0.7669419093147907
RN003,0.7375238633953193,0.7511897187937396,0.6983617684262488
RN004,0.8570516482408683,0.8177472849060284,0.8218712260852984
RN005,0.8513087245003906,0.8307695318615939,0.83463377318799
RN006,0.7466725694047756,0.6744155742618123,0.6788431876606684
RN007,0.9000786600037016,0.8469795199862608,0.843285550962976
RN008,0.70198683991124,0.6658821147470453,0.6827967323402211
RN009,0.7536443148688047,0.726803819853808,0.7333352513018211
RN010,0.8881704473182107,0.8527826560891418,0.8624649939181352
RN011,0.7992093539872684,0.7179961534939097,0.6429002180266271
RN012,0.7984670471983826,0.7551197734865396,0.7457102409732269
RN013,0.8312762456020883,0.8019570655012231,0.8032710790738313
RN014,0.730221465076661,0.6907477820025348,0.7257399775196703
RN015,0.8689046189046189,0.8327963096038388,0.8368173385819646
RN016,0.7364372782830683,0.7271780002718253,0.7414340918849291
RN017,0.7567318332718554,0.7381542017500413,0.7281395299007949
RN018,0.7262621679590826,0.674378017081322,0.6604190063122023
RN019,0.8027661357921207,0.7538142851452018,0.7582632505378447
RN020,0.6573247184383445,0.6291877445833731,0.5810078459920731
RN021,0.7368752897542884,0.7198344597159997,0.7379244210825401
RN022,0.7656533524496516,0.7339695794810618,0.7308040525975426
RN023,0.7938537789117069,0.7902916460701928,0.7721981184758796
RN024,0.7781761835853962,0.759184458549721,0.7445354145943326
RN025,0.8637916163532862,0.8474109632557976,0.8577445786304255
RN026,0.6663650823762897,0.6848198170162445,0.7002308648552655
RN027,0.7350054525627044,0.7387555946877981,0.7465655918570717
RN028,0.6973891125659414,0.681535391477873,0.7117815786677999
RN029,0.7717291542379882,0.7332271085617166,0.722870826068725
RN030,0.8697139753801593,0.800168776371308,0.7339425489682034
RN031,0.851740896078823,0.8286683630195081,0.8234420068175858
RN032,0.8517805987754873,0.8335089051667116,0.796709542327251
RN033,0.7005199467673547,0.6690510116842405,0.6523574315222272
RN034,0.8702506444951342,0.8305603728593106,0.8439792404810619
RN035,0.915754939437878,0.8663669697121905,0.8404449908542985
RN036,0.8915521777258112,0.8598786767299147,0.8432246862915318
RN037,0.9049058765494964,0.8529943031818813,0.8318606573008709
RN038,0.8636221679632048,0.7702544337092112,0.7799012025348037
RN039,0.6186577752553916,0.6349185287405127,0.5885449379392852
RN040,0.9171211580610632,0.8474314804340001,0.867974903217194
RN041,0.707961057023644,0.7198340874811463,0.7356577425953927
RN042,0.7790240426486501,0.7634169305828983,0.7956175593404156
RN043,0.690022343786116,0.6784306304601507,0.6953143676786995
RN044,0.8169384300098013,0.723759942154736,0.7584349233648642
RN045,0.7127711043224638,0.6713182529237951,0.6494902687673773
RN046,0.8002658836247827,0.673465666354069,0.6976676877065194
RN047,0.8819819273455031,0.8477285542670818,0.8599485884369081
RN048,0.858442528345441,0.7511828841802098,0.7979902015365772
RN049,0.8485374002193262,0.7908216171895724,0.7955450795521508
RN050,0.8493111024064581,0.8439061317183951,0.8101568829638359
RN051,0.8639630319332368,0.8508754836734126,0.8568565626336041
RN052,0.7561582283559336,0.7547181169671613,0.730120880940553
RN053,0.8797424905798539,0.8180387126865671,0.8258759205534479
RN054,0.7252289035217263,0.6817073589505855,0.7025257549985557
RN055,0.8292224936113739,0.8058325024925225,0.808688296449914
RN056,0.8437820749681816,0.7939301810811532,0.8049377729533234
RN057,0.7192884936075598,0.6694585865221437,0.7208506703652334
RN058,0.7821324965958203,0.7433815476415272,0.7459243194735268
RN059,0.8290327900805133,0.7453009664409102,0.720718716101577
RN060,0.9112189232695403,0.8726508854354897,0.8837957046869204
RN061,0.8607491970884815,0.7289521502119928,0.7799606633588128
RN062,0.6890062516901834,0.6807672601511464,0.6886925022639977
RN063,0.8365242647948687,0.7994052446607192,0.7907009543509943
RN064,0.6172393306267947,0.616827979336144,0.6168810607559866
RN065,0.8202923925413639,0.764682909243849,0.7320218953130345
RN066,0.7336257616360016,0.7141811751074794,0.731826634244028
RN067,0.6920187469846303,0.6468360216809247,0.6529774127310062
RN068,0.767430124855529,0.747279322853688,0.7862085564715086
RN069,0.867121503282304,0.7282017289474411,0.8059318858585262
RN070,0.7295550367608628,0.7113429201355753,0.697829831209094
RN071,0.7659721921427644,0.7296422536018102,0.7450090498959937
RN072,0.7538859754371301,0.7251365557044213,0.7225126804525946
RN073,0.7741437451753138,0.7585224076504782,0.7352493729698615
RN074,0.8423046965454813,0.7740052868275602,0.7262672044575658
RN075,0.8538600098251488,0.8303072625698324,0.8264843443178979
RN076,0.7428452400489819,0.7372701206248764,0.7318955732122588
RN077,0.8078516749771754,0.8238954800203799,0.828477243726074
RN078,0.8441709450635946,0.7512984278495227,0.7843799440184982
RN079,0.7496872348686386,0.725878612228819,0.729981429640511
RN080,0.8314070866372122,0.809897354585663,0.8021939853541347
RN081,0.8160956175298805,0.8101209702957756,0.8103971667088288
RN082,0.8685527328714395,0.7675192109186834,0.7715798963263466
RN083,0.8393210827464789,0.741737972024389,0.7608303677342824
RN084,0.9149882540931802,0.8540010538132001,0.8609274413529733
RN085,0.8506350051548144,0.8165378308737409,0.8370268639324135
RN086,0.7282495282495283,0.711698165583289,0.7365394778564633
RN087,0.8766105742530268,0.8676923894557823,0.8596001466317007
RN088,0.8260220764115956,0.7907295909332389,0.807116334108622
RN089,0.7606767763369414,0.7571775618374559,0.7694424785719902
RN090,0.8871652449910732,0.8020374231347813,0.8302710775218356
RN091,0.7627729885057472,0.7580433067414746,0.7662865530089195
RN092,0.8760187141563538,0.8083605019874056,0.7958416595299267
RN093,0.7025437636761488,0.7027934621099554,0.6930796378701857
RN094,0.8595100864553314,0.7256915262907881,0.7803300754959911
RN095,0.7439946679724694,0.7196584778167723,0.7177438493790048
RN096,0.7668094446900294,0.7225343033428493,0.7475562754845556
RN097,0.7982003440518725,0.6879033977477564,0.6571343397994166
RN098,0.809576191996972,0.8035216896359629,0.8130056937368895
RN099,0.6129980754152113,0.5930579072130038,0.5842300107255303
RN100,0.850420367393195,0.7562959263751159,0.7615635179153094
