,InA,OutA,InB,OutB
0,5,6,9,8
1,5,5,5,6
2,8,6,9,4
3,11,7,12,6
4,8,8,7,7
5,6,6,8,2
6,8,6,5,6
7,8,6,9,5
8,5,4,5,4
9,5,7,8,8
10,4,5,5,6
11,7,8,5,5
12,5,7,6,8
13,6,9,7,4
14,8,4,11,5
15,4,7,6,7
16,7,7,7,10
17,4,6,7,6
18,10,8,7,7
19,6,4,7,7
20,3,6,6,7
21,7,7,10,4
22,5,7,6,6
23,7,7,9,6
24,6,6,5,7
25,6,6,4,9
26,6,8,6,3
27,6,6,8,4
28,7,6,4,5
29,3,10,4,9
30,6,5,5,6
31,5,6,3,9
32,5,5,5,9
33,11,6,7,7
34,3,3,9,6
35,8,7,8,6
36,4,8,6,8
37,4,9,3,6
38,7,6,3,5
39,7,8,10,6
40,3,7,7,5
41,5,4,7,7
42,4,5,6,6
43,4,7,5,5
44,4,8,8,7
45,5,6,3,7
46,2,5,4,5
47,7,7,5,7
48,6,5,5,5
49,3,9,8,7
50,8,7,7,2
51,5,5,8,5
52,5,5,7,5
53,5,6,8,9
54,9,5,5,4
55,6,5,5,5
56,1,6,8,7
57,5,5,4,8
58,6,6,6,7
59,7,6,4,6
60,4,5,6,10
61,7,5,5,4
62,5,7,3,9
63,6,9,7,7
64,8,6,6,5
65,7,7,6,5
66,7,6,8,11
67,6,5,7,7
68,8,7,4,11
69,5,6,9,8
70,6,11,4,4
71,5,4,5,6
72,9,6,7,6
73,8,5,5,6
74,5,6,6,4
75,7,7,6,6
76,10,6,8,4
77,9,8,4,5
78,8,6,9,5
79,8,7,4,8
80,4,5,6,8
81,5,6,7,7
82,4,3,4,5
83,9,7,6,5
84,9,8,8,4
85,7,9,10,4
86,7,6,5,8
87,8,5,7,6
88,6,7,7,7
89,5,4,6,6
90,11,8,4,6
91,5,4,7,4
92,2,4,6,4
93,8,3,7,8
94,6,6,5,5
95,6,6,6,8
96,4,8,6,6
97,6,3,5,4
98,10,7,6,8
99,3,4,7,8
