,InA,OutA,InB,OutB,PosL,NegL,TotL,MPosL,MNegL,MTotL
0,2,2,2,3,1,0,1,1,0,1
1,2,2,1,2,1,1,2,1,1,2
2,2,3,2,2,1,1,2,1,1,2
3,1,2,2,3,2,0,2,2,0,2
4,2,2,5,2,3,0,3,3,0,3
5,2,2,3,2,2,1,3,2,1,3
6,3,2,3,2,1,1,2,1,1,2
7,3,2,1,2,2,0,2,2,0,2
8,1,3,1,3,1,0,1,1,0,1
9,4,2,1,2,1,1,2,1,1,2
10,3,2,2,2,3,0,3,3,0,3
11,2,3,3,2,2,1,3,2,1,3
12,4,2,1,2,2,0,2,2,0,2
13,1,2,3,2,1,1,2,1,1,2
14,1,2,2,2,1,0,1,1,0,1
15,1,3,2,2,1,0,1,1,0,1
16,1,3,3,2,4,1,5,4,1,5
17,1,2,1,2,1,0,1,1,0,1
18,4,3,3,2,1,3,4,1,3,4
19,2,2,1,3,2,1,3,2,1,3
20,4,2,2,2,2,1,3,2,1,3
21,1,3,2,2,2,3,5,2,3,5
22,2,2,3,2,3,2,5,3,2,5
23,2,2,2,3,3,0,3,3,0,3
24,4,2,2,2,2,1,3,2,1,3
25,1,3,3,3,3,1,4,3,1,4
26,3,2,3,2,2,2,4,2,2,4
27,1,2,3,2,2,1,3,2,1,3
28,4,2,1,2,1,1,2,1,1,2
29,4,2,1,2,4,0,4,4,0,4
30,1,2,3,3,2,0,2,2,0,2
31,2,3,3,2,3,1,4,3,1,4
32,1,2,2,4,1,0,1,1,0,1
33,5,2,1,2,2,0,2,2,0,2
34,3,2,2,3,4,0,4,4,0,4
35,1,2,3,2,1,2,3,1,2,3
36,4,3,1,2,1,1,2,1,1,2
37,2,3,2,3,1,2,3,1,2,3
38,2,2,2,4,3,1,4,3,1,4
39,2,3,4,3,3,2,5,3,2,5
40,1,2,3,2,3,1,4,3,1,4
41,3,3,1,3,1,2,3,1,2,3
42,3,2,3,3,2,0,2,2,0,2
43,2,3,3,2,6,0,6,6,0,6
44,1,2,1,3,1,0,1,1,0,1
45,1,2,3,2,2,1,3,2,1,3
46,4,2,2,2,2,0,2,2,0,2
47,3,3,3,2,2,3,5,2,3,5
48,2,3,2,2,6,0,6,6,0,6
49,2,2,3,2,4,0,4,4,0,4
50,1,2,2,2,2,0,2,2,0,2
51,2,2,1,2,1,0,1,1,0,1
52,2,2,2,3,2,2,4,2,2,4
53,4,2,2,2,4,4,8,4,4,8
54,1,2,1,3,1,0,1,1,0,1
55,2,2,2,2,2,3,5,2,3,5
56,3,2,2,2,2,2,4,2,2,4
57,2,2,2,2,1,1,2,1,1,2
58,1,2,2,2,3,0,3,3,0,3
59,2,3,2,3,6,2,8,6,2,8
60,3,3,1,2,2,0,2,2,0,2
61,2,2,3,3,4,0,4,4,0,4
62,2,2,2,2,1,1,2,1,1,2
63,2,2,2,3,1,1,2,1,1,2
64,3,2,1,3,2,1,3,2,1,3
65,2,2,2,2,2,1,3,2,1,3
66,2,2,3,2,2,1,3,2,1,3
67,4,2,2,2,2,1,3,2,1,3
68,1,2,3,2,1,1,2,1,1,2
69,1,2,1,2,1,0,1,1,0,1
70,1,2,3,2,2,1,3,2,1,3
71,3,2,2,2,2,2,4,2,2,4
72,2,3,3,2,1,3,4,1,3,4
73,4,2,2,2,2,0,2,2,0,2
74,2,2,1,2,1,1,2,1,1,2
75,2,2,3,3,1,3,4,1,3,4
76,2,2,2,2,2,4,6,2,4,6
77,3,3,1,2,1,1,2,1,1,2
78,2,2,3,2,1,3,4,1,3,4
79,2,2,2,2,3,0,3,3,0,3
80,4,2,2,2,2,0,2,2,0,2
81,2,2,2,3,1,2,3,1,2,3
82,2,2,2,3,1,1,2,1,1,2
83,2,3,2,2,2,0,2,2,0,2
84,2,2,2,2,2,0,2,2,0,2
85,1,2,2,3,1,1,2,1,1,2
86,3,2,2,2,3,0,3,3,0,3
87,1,3,2,2,1,2,3,1,2,3
88,1,2,2,2,1,1,2,1,1,2
89,5,3,1,2,1,1,2,1,1,2
90,3,2,3,2,2,2,4,2,2,4
91,2,2,2,3,4,0,4,4,0,4
92,3,2,3,2,2,0,2,2,0,2
93,3,2,3,2,2,0,2,2,0,2
94,2,3,3,2,2,2,4,2,2,4
95,3,3,3,2,1,2,3,1,2,3
96,2,2,2,2,1,1,2,1,1,2
97,1,3,2,2,2,1,3,2,1,3
98,4,2,3,2,2,4,6,2,4,6
99,2,2,3,2,2,1,3,2,1,3
