,RN,PInA,NInA,PInB,NInB
0,RN001,7,2,1,3
1,RN002,3,2,3,4
2,RN003,0,5,2,5
3,RN004,3,2,2,1
4,RN005,2,5,2,3
5,RN006,4,2,2,1
6,RN007,2,4,4,3
7,RN008,1,3,5,2
8,RN009,2,3,1,3
9,RN010,2,2,2,5
10,RN011,3,6,3,1
11,RN012,3,4,1,4
12,RN013,2,2,1,2
13,RN014,3,4,1,4
14,RN015,4,2,2,5
15,RN016,3,3,1,3
16,RN017,3,1,2,3
17,RN018,1,4,1,3
18,RN019,2,5,3,3
19,RN020,3,3,4,3
20,RN021,3,1,2,5
21,RN022,5,5,3,5
22,RN023,4,6,2,3
23,RN024,5,2,2,3
24,RN025,3,3,3,3
25,RN026,5,2,5,1
26,RN027,2,2,0,7
27,RN028,0,4,3,5
28,RN029,2,6,2,3
29,RN030,2,4,4,4
30,RN031,2,5,2,5
31,RN032,3,3,2,5
32,RN033,1,4,1,6
33,RN034,4,1,3,9
34,RN035,5,1,3,4
35,RN036,4,2,2,4
36,RN037,5,5,1,4
37,RN038,1,2,1,4
38,RN039,1,3,4,3
39,RN040,5,3,4,3
40,RN041,4,1,4,3
41,RN042,4,1,5,2
42,RN043,1,5,3,5
43,RN044,3,2,0,5
44,RN045,1,2,2,7
45,RN046,3,3,1,5
46,RN047,2,4,3,2
47,RN048,3,3,4,2
48,RN049,2,1,0,4
49,RN050,4,2,2,6
50,RN051,2,6,2,3
51,RN052,4,2,3,2
52,RN053,1,3,3,2
53,RN054,3,4,3,3
54,RN055,2,6,3,2
55,RN056,5,3,3,2
56,RN057,2,3,1,3
57,RN058,4,4,2,3
58,RN059,0,3,4,2
59,RN060,3,3,4,4
60,RN061,0,6,2,3
61,RN062,3,4,3,2
62,RN063,1,3,3,5
63,RN064,2,2,3,1
64,RN065,2,4,4,5
65,RN066,5,3,0,5
66,RN067,3,3,0,5
67,RN068,4,1,0,3
68,RN069,1,3,1,3
69,RN070,3,2,3,6
70,RN071,1,7,3,3
71,RN072,2,3,2,3
72,RN073,3,3,3,3
73,RN074,6,2,3,2
74,RN075,2,3,3,3
75,RN076,3,3,3,5
76,RN077,1,5,3,4
77,RN078,2,5,1,3
78,RN079,0,1,5,3
79,RN080,1,2,5,3
80,RN081,1,6,4,4
81,RN082,5,4,2,5
82,RN083,0,7,3,4
83,RN084,3,2,6,1
84,RN085,4,1,5,3
85,RN086,3,2,3,2
86,RN087,2,2,4,4
87,RN088,3,4,0,4
88,RN089,2,3,2,4
89,RN090,4,4,5,2
90,RN091,3,1,2,5
91,RN092,3,1,2,2
92,RN093,3,5,2,2
93,RN094,2,5,2,3
94,RN095,0,5,3,3
95,RN096,3,3,2,2
96,RN097,3,4,3,2
97,RN098,3,3,1,5
98,RN099,2,3,4,4
99,RN100,4,2,5,4
