,RN,BC A,STD A,BC B,STD B,BC C,STD C
0,RN001,0.4978606405124613,0.006864600357028873,0.44363948312432416,0.004490110580084725,0.47709747999196644,0.0014929000770177434
1,RN002,0.39536815914822326,0.003849404560617283,0.4071754001115055,0.010554272007446863,0.3801625888175195,0.005305051121244712
2,RN003,0.4676168193565615,0.005384694371527495,0.40058436791946095,0.006146995720388141,0.46327793144492574,0.0024141681650587748
3,RN004,0.49230539891503017,0.005249877015943845,0.47436739023534386,0.0006479083057352572,0.42516725180557474,0.010162365863171423
4,RN005,0.5287385990571788,0.008501674867802986,0.4511676462396226,0.0013459180807734166,0.4827845668433349,0.014396873279623277
5,RN006,0.42076073382617024,0.003644643674037359,0.3407597548247911,0.003670715685575868,0.5209101420534318,0.005831552565696437
6,RN007,0.47323732398596724,0.007129097426021506,0.45848217895105364,0.000966884557493667,0.34584627869082335,0.005982713710168688
7,RN008,0.4495063574044897,0.007158721865416909,0.5559864949182876,0.011661650192600912,0.4498728466136343,0.011621159505264623
8,RN009,0.40814049764989635,0.003658654351822671,0.357620915185318,0.0019986658908812704,0.41450121523758643,0.002258318206093327
9,RN010,0.4240834903502197,0.00256125483414374,0.5136688970857636,0.0005600653401102925,0.3838437147800812,0.006580840304263714
10,RN011,0.3472415860532971,0.00509350448507741,0.4939362313708024,0.0030973675504130144,0.49328980062155825,0.005450365926949963
11,RN012,0.45595951496546533,0.009759008704088334,0.3940034343884557,0.003918123073398986,0.41151071433973097,0.007307859623479232
12,RN013,0.3582849199976755,0.0062973688079600715,0.5082266208718363,0.0048079159703134965,0.44080587974865454,0.0058740316888143745
13,RN014,0.4911676599772177,0.0048539040836109385,0.36635999613855086,0.006939917964178009,0.47240525775519693,0.007280983383818952
14,RN015,0.4128207878033055,0.0058357119419700015,0.4234762617539654,0.0023145791596978654,0.41760649064203625,0.0031017311455549396
15,RN016,0.41121081653093855,0.0035730566525300983,0.3906041739879838,0.002874775051832034,0.42957070298110106,0.006686816276291208
16,RN017,0.4502532447512442,0.0007594328314170449,0.465628053374822,0.008247244022393643,0.428615521221541,0.00446750732524274
17,RN018,0.3688360592561772,0.005175740277941355,0.43157365076114934,0.008587982330984874,0.43017414048988695,0.0038401542061406954
18,RN019,0.47925108513899795,0.007856334773919347,0.43971165569442583,0.0040205178344353025,0.39898606778574536,0.0009264453264654587
19,RN020,0.4960771544851117,0.002755516355537261,0.44902942443759764,0.0018861326718057959,0.3951910889779096,0.004747204884427196
20,RN021,0.4010795339606376,0.0034333694675762745,0.42307426577606405,0.00288018809824457,0.36827661700173525,0.004884893600766003
21,RN022,0.36301035886460903,0.004697673604844916,0.401528533942445,0.0020117764198388545,0.4026955860775709,0.00508529000644309
22,RN023,0.5454801045780123,0.005147562633398316,0.34564436559995126,0.0006391127832553439,0.4737511620474521,0.005437004580068148
23,RN024,0.4071867750158263,0.004128501160229546,0.35744022581480767,0.001465071965924834,0.4516701856174872,0.010371021450945936
24,RN025,0.3933361429766878,0.009401086046270199,0.47593227914010877,0.0046706339522204965,0.4248492895861305,0.008165646776518189
25,RN026,0.3644950962835461,0.0036223872359373455,0.3724387909131148,0.005718055135814183,0.4351525159925476,0.007857705580804637
26,RN027,0.4194545887599798,0.007905592625716306,0.3947206273474566,0.004744325596898046,0.36699137940787185,0.006192423801858834
27,RN028,0.40258984421731797,0.006179339283254921,0.35655066342294467,0.0030750901629540183,0.4816483851720795,0.011029337849780007
28,RN029,0.4053404879244602,0.012486646682247025,0.412267414344656,0.005743416538190673,0.42997339221551667,0.003285360822802113
29,RN030,0.35714461316534757,0.0018016523898766136,0.4484105828718484,0.006411428211520887,0.48574491248465423,0.00833844143078731
