,InA,OutA,InB,OutB,InC,OutC,PosL,NegL,TotL,MPosL,MNegL,MTotL
0,8,3,3,6,3,4,54,61,115,31,37,68
1,2,5,3,3,4,4,14,13,27,3,10,13
2,3,4,4,3,5,3,14,14,28,8,7,15
3,3,3,2,3,3,5,14,13,27,4,7,11
4,4,3,5,3,2,3,45,42,87,23,20,43
5,3,5,3,3,4,4,64,59,123,36,29,65
6,4,3,4,4,6,5,28,29,57,17,16,33
7,3,6,5,4,4,3,61,56,117,32,38,70
8,2,4,4,3,3,4,21,21,42,9,14,23
9,5,5,3,3,3,4,138,133,271,76,74,150
10,5,3,3,4,3,4,33,32,65,14,18,32
11,6,3,4,4,4,3,33,29,62,17,17,34
12,2,3,3,4,7,3,59,56,115,25,21,46
13,2,3,3,4,2,4,3,2,5,0,2,2
14,5,3,3,5,4,3,72,77,149,34,43,77
15,6,3,2,6,3,3,48,47,95,25,26,51
16,2,3,3,4,8,3,68,64,132,29,38,67
17,5,4,4,3,4,3,85,124,209,47,69,116
18,4,3,3,3,4,4,14,11,25,7,8,15
19,2,4,2,5,2,3,3,2,5,0,2,2
20,2,3,4,4,3,3,31,29,60,17,15,32
21,3,3,3,3,4,4,12,14,26,3,9,12
22,3,3,3,5,3,3,316,307,623,165,169,334
23,5,4,3,3,2,4,246,240,486,127,134,261
24,2,4,3,3,3,6,41,54,95,26,31,57
25,2,3,2,3,2,4,3,2,5,0,2,2
26,3,3,4,3,4,4,49,50,99,18,34,52
27,3,3,2,3,4,3,71,69,140,35,35,70
28,3,3,5,5,7,3,25,24,49,9,15,24
29,3,3,4,5,5,3,200,201,401,108,103,211
30,4,3,3,3,4,3,140,138,278,72,80,152
31,6,3,3,4,4,4,9,8,17,2,6,8
32,3,5,2,3,3,5,37,36,73,11,25,36
33,6,4,2,5,2,3,61,60,121,30,30,60
34,4,3,4,4,3,5,202,199,401,117,116,233
35,4,5,3,3,4,5,75,74,149,44,45,89
36,7,3,2,5,4,3,44,41,85,25,23,48
37,4,4,6,4,3,3,90,94,184,57,46,103
38,5,3,3,3,3,5,112,110,222,52,63,115
39,3,4,5,4,3,5,36,30,66,20,13,33
40,4,4,3,4,5,4,46,45,91,21,24,45
41,4,4,4,3,4,3,5,5,10,2,3,5
42,4,4,5,4,2,3,143,142,285,79,79,158
43,3,4,4,4,2,5,216,217,433,121,125,246
44,4,5,3,3,4,3,5,5,10,2,3,5
45,3,4,3,3,5,4,15,16,31,10,5,15
46,4,4,4,4,3,3,89,82,171,47,39,86
47,3,3,4,4,6,4,194,219,413,114,129,243
48,5,3,2,4,5,4,64,62,126,34,33,67
49,3,4,6,3,4,3,246,258,504,150,165,315
50,3,4,5,4,6,3,137,135,272,78,81,159
51,5,4,4,3,7,3,12,11,23,5,6,11
52,4,4,5,4,3,5,147,170,317,87,93,180
53,6,4,5,4,4,4,69,64,133,33,46,79
54,2,3,7,3,4,4,164,149,313,69,60,129
55,2,3,4,4,3,3,70,69,139,36,33,69
56,4,5,5,4,5,4,365,397,762,219,256,475
57,2,5,3,4,6,4,22,23,45,12,12,24
58,4,3,5,4,2,4,82,87,169,49,53,102
59,4,4,4,3,3,4,80,66,146,41,42,83
60,3,3,3,4,4,4,268,251,519,146,137,283
61,3,5,5,3,4,3,97,97,194,48,56,104
62,2,3,5,3,3,4,20,18,38,8,10,18
63,3,5,5,3,2,3,16,17,33,6,13,19
64,6,4,3,4,3,4,184,166,350,134,87,221
65,4,3,5,4,2,3,12,12,24,4,8,12
66,3,4,4,3,2,3,32,29,61,11,19,30
67,4,4,3,5,4,5,220,221,441,132,135,267
68,5,3,6,5,3,4,251,254,505,187,182,369
69,2,4,3,4,4,3,55,44,99,24,26,50
70,2,3,3,5,4,3,104,92,196,51,49,100
71,2,4,4,3,3,5,75,74,149,47,27,74
72,3,4,4,4,5,4,49,48,97,23,25,48
73,4,3,4,4,4,4,57,54,111,29,32,61
74,5,4,4,5,3,3,187,188,375,108,116,224
75,3,3,3,6,4,4,100,95,195,47,50,97
76,4,3,4,3,5,3,32,32,64,21,21,42
77,5,4,4,3,4,3,31,33,64,16,17,33
78,5,4,4,5,4,4,79,69,148,46,42,88
79,5,5,5,3,4,5,35,40,75,14,24,38
80,4,4,4,4,6,3,55,55,110,32,41,73
81,3,5,5,4,4,4,48,46,94,22,28,50
82,3,4,2,3,2,3,8,7,15,2,5,7
83,4,3,2,4,3,4,39,38,77,19,19,38
84,5,3,5,3,4,3,36,33,69,16,19,35
85,5,4,4,3,2,3,67,71,138,31,46,77
86,4,3,5,3,4,4,15,15,30,8,8,16
87,4,4,3,3,3,4,316,307,623,178,170,348
88,3,3,3,3,5,5,89,89,178,43,45,88
89,3,5,3,4,3,4,349,333,682,217,196,413
90,3,3,4,4,4,3,68,67,135,38,29,67
91,3,4,3,4,4,4,54,52,106,23,30,53
92,5,4,3,4,4,3,9,8,17,5,3,8
93,3,3,4,5,6,4,19,18,37,8,12,20
94,2,4,3,3,5,3,21,20,41,11,9,20
95,2,4,4,3,4,4,122,128,250,71,67,138
96,5,4,3,5,3,4,115,113,228,66,70,136
97,4,3,4,3,2,4,286,281,567,179,169,348
98,2,3,7,3,3,5,22,21,43,9,12,21
99,5,3,3,4,4,6,104,107,211,66,73,139
