,RN,PInA,NInA,PInB,NInB,PInC,NInC
0,RN001,3,3,2,5,1,5
1,RN002,1,7,2,6,2,4
2,RN003,3,3,3,4,1,5
3,RN004,0,7,3,7,3,3
4,RN005,2,3,3,6,1,6
5,RN006,2,2,1,4,0,7
6,RN007,1,2,2,5,3,5
7,RN008,3,6,2,5,2,5
8,RN009,1,3,2,2,4,6
9,RN010,2,4,3,5,4,3
10,RN011,3,5,7,4,4,7
11,RN012,2,6,2,3,3,4
12,RN013,2,3,0,5,2,2
13,RN014,2,6,4,5,1,4
14,RN015,1,6,1,5,2,3
15,RN016,2,3,3,5,2,4
16,RN017,4,6,3,3,0,5
17,RN018,0,3,5,7,4,2
18,RN019,3,4,5,5,2,2
19,RN020,2,6,4,2,1,4
20,RN021,2,6,1,6,4,3
21,RN022,4,4,3,4,6,4
22,RN023,6,4,4,6,2,7
23,RN024,2,7,0,5,2,4
24,RN025,2,5,1,5,3,5
25,RN026,1,8,4,4,4,4
26,RN027,3,6,1,6,1,8
27,RN028,2,4,2,3,3,4
28,RN029,5,2,2,5,2,4
29,RN030,4,2,1,5,1,6
30,RN031,3,4,2,3,1,5
31,RN032,1,4,4,3,1,9
32,RN033,1,3,3,6,4,4
33,RN034,2,3,0,6,2,4
34,RN035,2,4,4,4,3,5
35,RN036,2,3,2,2,3,4
36,RN037,2,3,3,5,1,5
37,RN038,2,3,3,4,8,2
38,RN039,1,2,4,3,5,9
39,RN040,1,5,2,4,1,6
40,RN041,3,5,2,3,1,6
41,RN042,5,3,3,4,2,3
42,RN043,2,3,4,5,3,5
43,RN044,2,4,3,5,2,5
44,RN045,2,4,1,7,4,2
45,RN046,4,3,5,3,3,3
46,RN047,0,5,7,6,3,3
47,RN048,4,4,2,2,1,5
48,RN049,1,3,1,3,2,3
49,RN050,3,3,3,3,1,5
50,RN051,1,4,2,4,2,7
51,RN052,1,5,3,3,0,4
52,RN053,3,3,3,5,2,3
53,RN054,3,5,2,6,4,3
54,RN055,5,5,2,3,1,7
55,RN056,4,5,6,5,3,3
56,RN057,4,4,4,6,1,3
57,RN058,4,4,2,5,4,6
58,RN059,1,8,2,6,2,4
59,RN060,3,5,6,5,4,4
60,RN061,0,4,1,4,2,4
61,RN062,2,2,2,7,1,4
62,RN063,1,5,3,6,0,6
63,RN064,2,3,3,6,4,3
64,RN065,2,4,3,6,1,8
65,RN066,0,6,3,4,0,4
66,RN067,3,2,3,5,6,3
67,RN068,0,5,4,3,3,3
68,RN069,3,4,4,6,3,6
69,RN070,5,7,4,4,0,6
70,RN071,4,4,2,3,3,5
71,RN072,2,5,1,3,2,2
72,RN073,3,2,1,4,1,7
73,RN074,3,8,3,3,3,5
74,RN075,2,4,4,4,2,4
75,RN076,3,4,3,6,2,3
76,RN077,4,3,5,4,2,4
77,RN078,2,3,1,4,4,4
78,RN079,3,5,2,5,6,6
79,RN080,2,3,2,5,1,4
80,RN081,1,5,4,4,2,3
81,RN082,0,6,2,7,1,5
82,RN083,1,4,2,4,3,6
83,RN084,2,3,3,4,3,5
84,RN085,2,6,6,4,1,6
85,RN086,4,5,1,5,2,8
86,RN087,3,4,4,4,2,3
87,RN088,4,2,4,5,2,3
88,RN089,2,3,3,4,1,4
89,RN090,2,6,1,3,2,4
90,RN091,2,5,2,5,0,6
91,RN092,1,3,1,4,2,4
92,RN093,3,3,2,3,3,2
93,RN094,0,6,1,6,1,4
94,RN095,2,5,2,5,1,7
95,RN096,3,6,2,3,1,2
96,RN097,0,3,0,7,1,5
97,RN098,3,5,0,5,1,4
98,RN099,1,2,0,7,2,5
99,RN100,2,6,2,5,3,6
