,RN,BC A,Std(BC A),BC B,Std(BC B),BC C,Std(BC C)
0,RN001,0.552685257086967,0.004082919466305199,0.38679138277737407,0.006462646414746419,0.29399720903596455,0.005047523494359709
1,RN002,0.4821284646515975,0.0027950200573766738,0.4057152445230556,0.00921501131523115,0.37723195576329105,0.00434657670817688
2,RN003,0.4843393121941191,0.0037261111713124415,0.4285495837145645,0.005527210553194752,0.5847398155985136,0.009365850621721405
3,RN004,0.5661250238848686,0.004042369743479207,0.4423975982859703,0.008669305004572981,0.5243137320276882,0.005300450117914219
4,RN005,0.5050428828023383,0.008026542006882449,0.3874588124912796,0.003794650925556924,0.30803927822636723,0.007326269273708701
5,RN006,0.5918958013555587,0.0063604138728778235,0.48310555894922613,0.004926078277140263,0.5701654150664273,0.0033259914918399823
6,RN007,0.5472509978114867,0.003206956196145349,0.3255198207723981,0.004888194121470151,0.38939265305969945,0.006841907381116364
7,RN008,0.6454516799329806,0.0035978346972615747,0.3067829528824122,0.004068259660834805,0.31239652381548805,0.000455690788661249
8,RN009,0.5729672601698811,0.003809245260368132,0.3788207278350033,0.003295070715541852,0.26852649122646355,0.0031986167908868678
9,RN010,0.5983415572643961,0.004500416049826453,0.2473703191423722,0.0018499089090500836,0.4335856752741032,0.004233070197854067
10,RN011,0.5704742362663633,0.0025184999813852673,0.40524247341384195,0.009397282728229598,0.4237701755505967,0.0006389298244719509
11,RN012,0.583991481023093,0.0025957597798015233,0.4391908109508442,0.0017363063299425609,0.5293423336194506,0.003956459674838321
12,RN013,0.49399747292094814,0.009545413641784338,0.367169692160431,0.002787461230493729,0.3669925267833121,0.008724596452719289
13,RN014,0.5950757843516631,0.001458023789001902,0.40337145522413936,0.006032207216326979,0.4507890932965912,0.0031218172716767955
14,RN015,0.4485911029449859,0.004834201504654814,0.35564077257163934,0.005332904250221138,0.4371599275032181,0.011058969010049048
15,RN016,0.5515235475643636,0.004380176833255554,0.3610476186057207,0.00280584086646957,0.5395301691472225,0.002599170848299801
16,RN017,0.5244602694362406,0.0018442553619410316,0.4472767246858444,0.009978705069374597,0.3083682557226725,0.009702480350991815
17,RN018,0.537151208199426,0.004702103693018937,0.3840127182417427,0.005785925319487311,0.421629816950205,0.00986018246111072
18,RN019,0.5127777823097114,0.007584160940819238,0.3191129052775344,0.0019159937964133974,0.459488683395604,0.005880716900127553
19,RN020,0.46996139488335614,0.0031596650461721987,0.4013230932627559,0.006684747389067398,0.2798469207654791,0.0017567286403035952
20,RN021,0.48660481985982385,0.0079362163690399,0.3111545412096976,0.010028331969369862,0.5019870244111941,0.00507693337071456
21,RN022,0.5389263547829127,0.00509889717927284,0.3792826899914223,0.007925682931497376,0.35237881787311326,0.010848645602732751
22,RN023,0.7033313701611786,0.003156224501236856,0.43454661307530995,0.006043659260467867,0.6241637945217474,0.005705769998670672
23,RN024,0.5234719359143395,0.0021233502601584447,0.3761841382782282,0.004126461090708721,0.3966681931431848,0.00392210046564298
24,RN025,0.5368433055590147,0.0015062378099091722,0.3606613127240923,0.006566344369822589,0.35884813337489474,0.006572332074487842
25,RN026,0.486414048544797,0.007545124125451635,0.38578585033624774,0.008579720939856667,0.38739675266826684,0.00897216149035739
26,RN027,0.47950674484028727,0.009259615796601731,0.41727994741686314,0.0015110349503058842,0.5139425039291422,0.002024169054573101
27,RN028,0.6485343250917434,0.0028336357809448784,0.376963962676731,0.004615004557270099,0.4454895139513437,0.005590557689743947
28,RN029,0.4695790452446957,0.00921189139552089,0.42451977771606897,0.0036077687780638685,0.35998521270052125,0.0034672140582487658
29,RN030,0.5658894704577052,0.005915434751039523,0.36716910649155726,0.008546462561251094,0.29350676863692626,0.003472680901928826
30,RN031,0.5123330441373461,0.00231152812253813,0.3816294332029053,0.005004117752610864,0.5989496615296317,0.001737452258946714
31,RN032,0.4815634752194871,0.00800342187156657,0.41278852898664004,0.009911286512952002,0.3815588829561951,0.005879037807880916
32,RN033,0.4752211599680005,0.006263263522448807,0.3398488120107561,0.015715679868159645,0.42272128314866025,0.005817866099630873
33,RN034,0.43470980783620616,0.004086666917986353,0.40325902292314336,0.009035011780834818,0.3873228310101396,0.006719977942363033
34,RN035,0.45394047461572695,0.0036795824194110513,0.42273311532583974,0.0034673455891211518,0.3576207856208183,0.012273777340702098
35,RN036,0.3737718516960802,0.006252774807065401,0.2977390229080361,0.011823264167896724,0.33124268249483857,0.0013221418963330189
36,RN037,0.5156886907184207,0.004687713843779241,0.3400072685406077,0.010114693891791624,0.34046748301037794,0.0019898071327297635
37,RN038,0.442140160241354,0.003128497297034146,0.38209415752687487,0.007242012418705505,0.44772436891435047,0.015274976340513526
38,RN039,0.5209824268247304,0.0024424346241151288,0.36897399921361734,0.006749802770894006,0.34033513395798803,0.015929219967100335
39,RN040,0.5009464301981882,0.010895818269968582,0.5097416629305003,0.0015238221035355005,0.5743390495310093,0.0001704806103203308
40,RN041,0.5906153260185271,0.006692964794194323,0.43743981290093803,0.009374336290407499,0.3422351682497082,0.0019628202261897454
41,RN042,0.439409554090258,0.0020317579644966045,0.4028895584767307,0.009462798242814815,0.4194593688382178,0.007791306363519963
42,RN043,0.5368741644575867,0.006285422710456059,0.4258582974325084,0.0036133090955097684,0.46961113858174236,0.0034342284703500125
43,RN044,0.5298909141901817,0.01043365667018747,0.39436437096944266,0.006684832255111134,0.4554118716325139,0.006678503388543312
44,RN045,0.6533463674706192,0.0028203445547960123,0.31346117499773457,0.002548205235148097,0.4430856661170151,0.004483410166890942
45,RN046,0.46520096230267766,0.0036511927200092147,0.39771699460004645,0.002388347963262868,0.2919188051753719,0.006125702376284703
46,RN047,0.5287892591702564,0.0031266191960565397,0.44843396737696395,0.00870093134453859,0.3356520952299971,0.001998795529018035
47,RN048,0.42324503624963655,0.007577013082286323,0.34937050739370984,0.011758339668534864,0.347695123004631,0.0008893547085074922
48,RN049,0.6009367920744874,0.008038118950285385,0.4126694573068906,0.011668062489248482,0.37808711294797387,0.007231453275985176
49,RN050,0.5443490801477827,0.007060590042801362,0.417885632336017,0.0158677405667989,0.2968476066325901,0.0033669761741701378
50,RN051,0.46562486934905595,0.011907388121007906,0.3722483369392408,0.014980165183729554,0.4527486097138363,0.0028405932079793262
51,RN052,0.4626968096416782,0.006565710671000975,0.40629985213530945,0.006470559648839063,0.40505152300210323,0.003487290583011569
52,RN053,0.46914068607512593,0.005349920162795334,0.39628986850575165,0.00045440419954312464,0.415576607859826,0.005981605118989842
53,RN054,0.44438619361785764,0.005844608451918602,0.34020940591606313,0.005084640375174193,0.41621865769996735,0.004674642189182347
54,RN055,0.5902034145242311,0.006633258086668382,0.3213409866958094,0.009705762745451154,0.4169629505433841,0.0013374037123487794
55,RN056,0.4650146563187471,0.006224775564546389,0.39097686327125936,0.0009836701161422972,0.3331153541483894,0.00805628065541935
56,RN057,0.43465937597826537,0.009471712456593055,0.40515957058011015,0.014988458484955829,0.38674666934409424,0.0010107150324270724
57,RN058,0.5771656932822397,0.0037519685882227115,0.3775571507273528,0.004551342695453267,0.4063704681087746,0.0035640926045099296
58,RN059,0.5180203638420778,0.004052490128832771,0.37769570369221456,0.0037452684672449558,0.39225821992027,0.0019052148834215114
59,RN060,0.6198253550622956,0.0026481023055224865,0.3135142535755615,0.003556456305660137,0.355528608218157,0.013949162725330774
60,RN061,0.4838911520650411,0.007246775494802259,0.4027941068988727,0.0016414948697047764,0.33967521495726327,0.0028433343667913814
61,RN062,0.4988481709068071,0.0035918228944145977,0.3448809690548465,0.002244421315467144,0.3559098556487814,0.0025029822311878405
62,RN063,0.5909165798600506,0.010314468822300499,0.3929209655665651,0.0060563290835655365,0.4183983781923173,0.005598789804493674
63,RN064,0.6468126174910069,0.0033230742129193064,0.33484749588422885,0.0049066710378961684,0.4616695501630174,0.0060329832384251976
64,RN065,0.506302342363317,0.0026544543154989188,0.43919646408114077,0.01385029372799032,0.3226054216914367,0.0019905942310491573
65,RN066,0.495700773770239,0.010156411899577491,0.40239645291272974,0.009956382420041742,0.5578938874754189,0.00453951614809057
66,RN067,0.39918844462807906,0.004976242260920351,0.40779652366156255,0.007742479301550175,0.3348329455900581,0.006012626002203763
67,RN068,0.5523995418435234,0.007189191075867328,0.3281553849395377,0.006995220105264523,0.38487186244167365,0.005016176050302961
68,RN069,0.5078907484363185,0.0017858074654078697,0.4332558164887568,0.00757434822858527,0.2715659257127736,0.008925315021447406
69,RN070,0.3789440488087564,0.006737471006361199,0.3679827377775858,0.0035208111112957504,0.4453864054873375,0.004523267426339161
70,RN071,0.4890905818527435,0.0026202119370045823,0.35206828230846243,0.004758936185849863,0.3647720232349106,0.0026441576811636744
71,RN072,0.4804641178633285,0.002644472851163279,0.4040300819922839,0.007142421631745574,0.36941915551141236,0.007086280894993652
72,RN073,0.6188977731449001,0.00649465380742728,0.4154542878533505,0.015234604799049022,0.5702516056056837,0.007856547414473215
73,RN074,0.5994856476375118,0.003976283922740615,0.4485573775057577,0.005630755092747094,0.458817765220862,0.009416791766878279
74,RN075,0.4608704749871139,0.0026587558163751928,0.4179542492275825,0.005913934803191943,0.38646271531941473,0.003554582818525834
75,RN076,0.597011524188975,0.002277052780310055,0.3947058834922607,0.004873500554337882,0.5993365965400099,0.004591442469724283
76,RN077,0.6536636213127075,0.005188008958498087,0.38001016459583054,0.00723112803149887,0.44545428332712894,0.005701803926581131
77,RN078,0.4419174200250069,0.004404236331620401,0.40113328929011843,0.002309201821017907,0.2558602100145502,0.004657035347340882
78,RN079,0.4912138464621833,0.001566532041374912,0.4001101970140564,0.010853791683687972,0.41265346722069457,0.0038827395510412184
79,RN080,0.5441487950690876,0.0037948209610932215,0.262016059434134,0.008832219342197356,0.4522593570242257,0.005928731568015207
80,RN081,0.730037950701103,0.0029328890052914332,0.5125592557986247,0.00253487152367194,0.7690277397673877,0.0037058019951808933
81,RN082,0.4603065243277759,0.0023367051632133804,0.4180247366020627,0.004636583849057919,0.3741299936317573,0.0053638604689498146
82,RN083,0.4503291603035609,0.0027943436848898665,0.4013735483302306,0.0005001808190772861,0.4583742601662582,0.0010830133056972282
83,RN084,0.640334898718685,0.0029623724030384572,0.4003730418355817,0.008482727651978245,0.4688454938543944,0.006368359245485733
84,RN085,0.5818946937834315,0.0033999170060930017,0.3956845323691636,0.0021028889171377783,0.3974482204461606,0.004824424665066203
85,RN086,0.6029613512840885,0.0038560324398227907,0.433244210442605,0.007064150693242319,0.37497598872988497,0.0032728174850868916
86,RN087,0.4795230747637748,0.005042803755370143,0.3608788365389129,0.006225683627897357,0.40490244684815707,0.011495416880154957
87,RN088,0.4820684716134647,0.004695169743403816,0.39928210269844505,0.005556244306570902,0.38726028662731027,0.00833207906878938
88,RN089,0.49152081256848557,0.0063490702008033514,0.42691216972571283,0.003216477964037112,0.462453097615533,0.003021429795049983
89,RN090,0.4802454189792986,0.009470565040292218,0.45350950256207084,0.00996075420258707,0.32182054495542134,0.00441429451186692
90,RN091,0.6644644309038021,0.006641323016939441,0.3997668297826639,0.006165919454693295,0.6138055182813061,0.004260924813371864
91,RN092,0.4876998741068605,0.0056185349537557,0.436179799257208,0.0047255329656431125,0.37123586896355104,0.0044398528001651704
92,RN093,0.6173764399729494,0.0025418558014487476,0.349000413863259,0.0033489721210912455,0.5642096554286407,0.007869507087980034
93,RN094,0.47069299913580204,0.006233841243677396,0.4101707027236003,0.006106227570230041,0.3098876391597729,0.002137256685296296
94,RN095,0.4423020264091651,0.0035372259236931196,0.4008248991613316,0.004149351235074194,0.35891597642918266,0.0038265803300772893
95,RN096,0.4997553801952,0.00188358466785979,0.4357002404225277,0.006489821391907637,0.37440954165268087,0.008302775274322952
96,RN097,0.5128813300234735,0.002499933959316649,0.34404184919058256,0.0043371820604315835,0.35796473706884907,0.004558974295757366
97,RN098,0.4926690436268732,0.0069699764883963365,0.4558892441343385,0.0012348069157561677,0.5089769764498274,0.010094103361356164
98,RN099,0.4631561804858025,0.0049704483439258545,0.40921049402471515,0.003206661581794944,0.501719573104014,0.003839195851852734
99,RN100,0.6303828774798639,0.005246854632701692,0.4026955939077068,0.007803871884529261,0.3292755423063789,0.008822882555489658
