,RN,CC(AB),Std(AB),CC(BC),Std(BC),CC(CA),Std(CA)
0,RN001,0.27475087435684015,0.006645217171373364,-0.2839666517437455,0.008462946462881983,-0.7824070681927472,0.002014803991545008
1,RN002,0.6717965872809559,0.005307202849266693,-0.6135242541781556,0.006484087535719011,-0.8098456371190993,0.0015403592059752276
2,RN003,0.45210455670951366,0.004543206030693641,-0.6484607960073889,0.0005680604361889798,-0.812317819551651,0.004866609726970273
3,RN004,0.49467353987444795,0.0033733416991086032,-0.6475208024157556,0.004040647585534514,-0.7859479557648742,0.0007104896739036507
4,RN005,0.39523407721587267,0.003736917286263104,-0.622767202225608,0.008502279657224242,-0.6990636392091831,0.009706157559641862
5,RN006,0.4603717929203799,0.007275858505148932,-0.49905129824434,0.010027354221634121,-0.8152696651745606,0.005008874261114419
6,RN007,0.4156284874555965,0.013514457186490436,-0.4735655929314708,0.008004246139909243,-0.7485088959351857,0.0016196359054512078
7,RN008,0.3037562707557635,0.012167657696451159,-0.4934704454864603,0.014172989981646624,-0.8141101647315979,0.0023853159293027856
8,RN009,0.26976991137577605,0.003121850754319402,-0.5836982975135466,0.0029076796833923655,-0.7254542044333331,0.004925806709901505
9,RN010,0.653651818371877,0.004691989952221186,-0.7297945563475982,0.0046235364386425035,-0.7184219131486761,0.00581438505915933
10,RN011,0.17678981376938707,0.0006440784371915592,-0.5867567817863898,0.0033929709338597876,-0.3052792988763428,0.008736497799190562
11,RN012,0.6430957962326077,0.0034725796660277407,-0.5580233770505593,0.004514729278301416,-0.8393963774009318,0.0015268332130273364
12,RN013,0.6008633285432645,0.006540229777615595,-0.5468469994902114,0.0023364445726539373,-0.7339626295901662,0.0054461583111155894
13,RN014,0.2675787892773352,0.015405950740618993,-0.39820005915797685,0.005274935957768513,-0.5246014815414713,0.00976837800354763
14,RN015,0.46078426955375584,0.0100065776324778,-0.6395667645807517,0.004168046798703254,-0.7430527917396444,0.0017412915236589253
