,RN,BC A,Std(BC A),BC B,Std(BC B),BC C,Std(BC C)
0,RN001,0.4440479440977017,0.0037330947402760724,0.4015294282130594,0.003222222284314177,0.49786904970133045,0.0033643692419401045
1,RN002,0.47345387390631766,0.0053997109782149885,0.42478349016808603,0.021381601494603546,0.46462455595911795,0.0024775741444074545
2,RN003,0.36354229190251464,0.003859993347054485,0.28598724224223787,0.006492822244610605,0.4586789657844605,0.002554898796435466
3,RN004,0.4669030412683681,0.005693287585962994,0.379394024963778,0.003818119100588485,0.3759093322202856,0.009560194299340971
4,RN005,0.5538206257358481,0.001061435481229604,0.3812148071409194,0.009026950472014312,0.470008593658687,0.004574808790187388
5,RN006,0.4628461427745045,0.0007214247147226265,0.3910415188595406,0.010580116759597106,0.4474399117673015,0.006187599831554096
6,RN007,0.4340412560897919,0.009820487061068438,0.3997055435726573,0.013376567310249336,0.43056907620107526,0.00332805620794471
7,RN008,0.4775190686549419,0.0043157647742665265,0.37587043153063227,0.004061935822469789,0.37671198039289827,0.00782522160577641
8,RN009,0.40832179043578654,0.005875131302559602,0.3492830084179286,0.005299687577020142,0.3920402781764842,0.005540698930019355
9,RN010,0.49328053213930495,0.001755453953251431,0.36164786063040216,0.008941014005072261,0.36480145070295705,0.004694093845154385
10,RN011,0.4723144187365384,0.0012115323026066019,0.2899206534508457,0.006987271654206352,0.3988030233853242,0.0035706949984776874
11,RN012,0.46476000831009845,0.0027004947050942294,0.3541872612724579,0.02334135491977089,0.2848371246843564,0.002466301285328017
12,RN013,0.418324290848115,0.003947353691266066,0.33325408454122435,0.01343302607327003,0.3830303139309657,0.0030479556024016387
13,RN014,0.47414820762058646,0.005599723381591423,0.30181778144850496,0.00282421934911746,0.5050486768342416,0.001191029840892639
14,RN015,0.5496803525654106,0.0035501952569191395,0.3955610329540649,0.004271174405662047,0.4484199161940608,0.007452060262847955
15,RN016,0.4672958966259147,0.0025817929554030413,0.32442847428352334,0.006926139501140452,0.453238689667838,0.004018361838079703
16,RN017,0.4599008977750652,0.0034905725246179953,0.4103866820304167,0.007418742217037317,0.4318489806750725,0.00811713677424946
