,RN,CC(AB),Std(AB),CC(BC),Std(BC),CC(CA),Std(CA)
0,RN001,0.4222404806656525,0.011514522155790819,-0.44909320075421827,0.006890425629333614,-0.4022826390783853,0.014165026384162735
1,RN002,0.19444765101037317,0.008223177187381537,-0.3685129668262673,0.00931131346708644,-0.3741584066301689,0.010621870533279449
2,RN003,0.12385525863643983,0.01827340221230857,-0.5497087972101391,0.006529448629613013,-0.0003850696619433003,0.004143759687405754
3,RN004,0.18879108275678438,0.013768322401506848,-0.4045518562721086,0.009430032962291002,-0.2551727884021324,0.012304890320559831
4,RN005,0.4339695903063398,0.00310274632158163,-0.43052154456109953,0.011564381919026541,-0.19344000156541066,0.00806382818218204
5,RN006,0.24760189008005562,0.012336672686626936,-0.4167076221906934,0.014056561388925547,-0.4802576613399004,0.006572218878963325
6,RN007,0.20977116052215708,0.005878518174481896,-0.6230251814533919,0.004416569990192173,-0.010165277861146634,0.012248413648373408
7,RN008,0.28827911785450994,0.007593925176476341,-0.4707490655438756,0.003051622516256668,-0.24271837148279599,0.016818684254211982
8,RN009,0.138765280804053,0.008214698513075411,-0.4192541156700556,0.01615114546577224,-0.19104611939805397,0.009115091047723407
9,RN010,0.36406076197571674,0.010679634029940835,-0.24093732885763056,0.014066714072118364,-0.262262666569306,0.0215612961654435
10,RN011,0.4208502391726578,0.011802995044915113,-0.33276318092635243,0.00745728264285511,-0.33856385804744743,0.014329056075012532
11,RN012,-0.021350651184698602,0.0034741994798693915,-0.6684531763455723,0.0016986297227831358,0.33639811781488715,0.003925419005100502
12,RN013,0.4676112288839341,0.019422252956755277,-0.47071731561746727,0.004136336291040079,-0.14021217638187508,0.020791821703947482
13,RN014,-0.007123780589383167,0.012621691858372029,-0.5567203229220016,0.0055740546547315495,0.025893189768980803,0.008224049149942993
14,RN015,0.31995295804477575,0.0020435822113110836,-0.45224369503387796,0.009431465043616015,-0.2771157959046701,0.012401734700727772
15,RN016,0.39327090999128805,0.016584895961565694,-0.2999550163007754,0.007085378511081773,0.09881437681655143,0.010782213115056932
16,RN017,0.16824498396278176,0.001971355057998872,-0.4363135580658166,0.009039331472527095,0.040048684224447066,0.01099182743940445
17,RN018,0.3800800777404502,0.00440442600420911,-0.3299589279766411,0.003677533308519751,-0.4868940152190678,0.00488932478168867
18,RN019,0.31945344442714824,0.0075355995215090925,-0.6016155680350659,0.005428692355912006,-0.3330147787269935,0.007064552293351786
19,RN020,0.650777393335683,0.010098976819253598,-0.25201711891541695,0.005752667276351209,-0.2801895712687033,0.011724299508137566
20,RN021,0.42510984758843584,0.011844254893237977,-0.585106755827629,0.007951685341147477,-0.2432695462128577,0.005025303508909948
21,RN022,0.2608764405734489,0.011769101209513943,-0.31277414976076484,0.007570610072661332,0.1525425560740388,0.006519235266913653
22,RN023,0.1794490928454399,0.021328275317586187,-0.44079903608424326,0.014435643726727988,-0.11339123874283984,0.017511514898032453
23,RN024,-0.20298771037502097,0.011291612590177105,-0.6360221647141211,0.001228516889813886,-0.1485860901263769,0.011798754315646906
24,RN025,0.29648171800724316,0.011757575770955597,-0.3785982819317777,0.014697036140093888,-0.46131814252019504,0.010789302751396427
25,RN026,0.05315511721798089,0.01858576974464824,-0.5791185953696766,0.006664616174400898,-0.31687028341462087,0.003644531363932259
26,RN027,-0.09593579234541316,0.008127313247106194,-0.6185293243277415,0.006466992503807394,-0.10914598693291803,0.012789648552010983
27,RN028,0.005205854062834099,0.008742199269665425,-0.2951947831170921,0.012963776058801904,-0.13731087236175252,0.016295808498587996
28,RN029,0.03252807206232957,0.010688395596575688,-0.6006023505176967,0.008117192053567026,0.4032224823686321,0.009268554736037238
29,RN030,0.48138914344989864,0.0028797476825009175,-0.4312582888369005,0.002909314285549747,-0.3489072782087979,0.006250395102172193
30,RN031,-0.17676342549838334,0.004118701099601552,-0.5264726624366536,0.006904399520447444,0.04339127511080736,0.011869778771930756
31,RN032,0.4029204161316717,0.011680106506261445,-0.5354222032251804,0.012817219324199684,-0.3035538182066813,0.0038216825298513935
32,RN033,0.16763167055669703,0.0131273626002744,-0.612959582715516,0.010666122152007884,-0.23201756146092056,0.020125219744578465
33,RN034,0.014189988642386799,0.01033890251338604,-0.662019118697968,0.005248143032575619,0.16999564936787284,0.004394599155280271
34,RN035,0.45312538571786076,0.006861116457021547,-0.548658644414715,0.0028401619684005333,-0.3488184455012071,0.014923418458282083
35,RN036,0.1275373595494628,0.00994696519400427,-0.3905257807120029,0.007935868786886444,-0.16841264976515627,0.010807517320107297
36,RN037,0.326800780931417,0.02438802227801148,-0.40960021361475313,0.0015902842715017273,-0.3704688013392176,0.003964518018944373
37,RN038,0.1752119409260623,0.00818196609788565,-0.5303298919922338,0.011109530252110405,0.03669554552930513,0.019873244626656725
38,RN039,0.22739185289482103,0.006277692439181914,-0.5187133114590442,0.010488621918717857,0.17202300501383583,0.011970567293712216
39,RN040,0.326802182846014,0.004459053465761005,-0.3803529852995993,0.011030901732936749,-0.5122581396114905,0.011637678333883269
40,RN041,-0.13056112921906912,0.007769762408601729,-0.5457617536993298,0.013802105786713289,-0.14241207616911078,0.012938222143577134
41,RN042,0.1979651887564706,0.023811146302343697,-0.4112561301532775,0.013028834018154207,-0.355521494918305,0.01501108809260984
42,RN043,0.04940516045970323,0.01316142824979592,-0.5971420994966689,0.016180626408454545,-0.11686533658392767,0.007891211942062335
43,RN044,-0.018126397572525665,0.010375039406665829,-0.49820970523942315,0.006836725617043728,-0.31999538634376523,0.007206552960550798
44,RN045,0.5200208213923849,0.00526256192766141,-0.3987127391147589,0.011460465609829426,-0.4981669963767332,0.004158411282998517
45,RN046,0.3120710374645031,0.0034398468632976477,-0.35138299247965427,0.004391589655498378,-0.34948196136000403,0.006186051153284058
46,RN047,0.0443776735784747,0.004735350724866616,-0.41522123935174987,0.014384762505847385,0.0253252579615505,0.013392196622462289
