,InA,OutA,InB,OutB,InC,OutC
0,2,4,5,6,5,3
1,4,3,4,4,4,4
2,2,3,2,3,3,7
3,5,4,3,5,2,3
4,2,4,8,3,4,5
5,2,4,4,4,5,5
6,4,5,4,3,3,3
7,3,4,3,3,4,5
8,5,3,2,4,6,3
9,3,3,5,3,5,3
10,8,3,3,7,4,4
11,2,3,4,4,4,6
12,6,5,3,5,5,3
13,4,3,3,4,4,4
14,5,3,3,3,4,3
15,3,4,7,3,5,3
16,3,4,5,5,3,5
17,4,3,4,4,3,4
18,2,6,4,5,3,4
19,6,4,5,3,2,3
20,4,3,6,8,3,3
21,3,3,4,5,5,4
22,4,3,4,7,3,3
23,6,3,4,3,2,3
24,3,3,4,3,4,6
25,6,6,4,3,4,6
26,4,4,3,3,2,4
27,5,4,3,4,4,3
28,3,4,6,3,4,3
29,3,6,5,3,4,4
30,6,6,3,3,3,4
31,4,5,3,3,5,4
32,4,4,4,3,3,5
33,4,4,3,4,5,5
34,3,4,4,6,5,3
35,7,3,4,4,2,3
36,4,3,4,4,4,4
37,4,5,5,5,5,7
38,3,4,3,4,4,4
39,4,3,4,5,3,4
40,5,3,5,4,6,5
41,6,5,3,4,4,3
42,5,4,4,3,4,5
43,5,4,4,6,5,5
44,8,4,3,4,4,4
45,3,4,3,3,3,4
46,3,5,5,5,4,3
47,3,5,2,3,2,4
48,5,3,3,3,4,4
49,7,3,4,4,3,3
50,5,6,6,4,5,3
51,6,4,3,6,3,3
52,4,5,4,6,2,5
53,2,4,5,4,2,4
54,2,4,3,5,4,4
55,4,5,6,4,3,4
56,3,6,3,3,2,4
57,5,3,5,5,5,3
58,3,4,5,4,2,5
59,4,4,2,3,3,3
60,5,5,4,5,5,3
61,3,4,5,3,2,5
62,5,4,4,6,5,4
63,3,4,3,5,2,5
64,3,3,5,3,3,4
65,5,4,4,4,4,5
66,3,5,3,5,2,5
67,3,3,4,4,3,4
68,4,3,4,3,3,3
69,4,3,3,5,4,3
70,4,7,5,3,2,3
71,3,4,3,4,4,5
72,3,4,5,3,4,3
73,3,3,3,4,5,7
74,4,5,4,5,5,3
75,6,3,5,3,5,4
76,3,4,2,3,4,4
77,4,4,5,3,2,3
78,4,3,2,5,3,4
79,4,6,5,3,4,4
80,3,4,3,5,2,3
81,4,5,3,5,3,3
82,3,4,3,5,3,4
83,7,5,4,4,3,3
84,2,4,4,5,4,4
85,2,4,4,5,4,4
86,7,4,6,4,2,3
87,4,4,5,5,4,4
88,4,4,3,4,3,3
89,7,3,4,5,3,3
90,2,3,5,4,3,4
91,4,3,3,3,3,5
92,5,3,4,4,4,5
93,4,4,5,5,3,5
94,3,3,2,4,4,4
95,7,4,4,3,3,3
96,3,3,2,3,5,4
97,4,3,3,6,6,3
98,2,4,3,4,4,3
99,4,5,2,4,4,3
