,InA,OutA,InB,OutB,InC,OutC,f1,f2,f3,NetP,NetS,f1/f2,f1/f3,log2(InTT)
0,2.0,4.0,4.0,3.0,3.0,3.0,0.6587753535095016,0.3259805489794612,0.0152440975110371,E:2N,5N,2.020903871632563,43.215110178384265,3.169925001442312
1,2.0,4.0,2.0,3.0,4.0,3.0,0.5815159612677068,0.386863201448151,0.0316208372841421,E:2N,5N,1.5031565656565655,18.39027714675152,3.0
2,2.0,3.0,3.0,3.0,5.0,4.0,0.4731261906325954,0.4812323457925507,0.0456414635748538,E:2N,5N,0.9831554232984795,10.366148531951652,3.321928094887362
3,3.0,3.0,3.0,3.0,2.0,3.0,0.5860568838195511,0.3855560429918842,0.0283870731885647,E:2N,5N,1.520030341819561,20.645202833226048,3.0
4,3.0,3.0,3.0,3.0,4.0,3.0,0.5115674984005119,0.4393730006397953,0.0490595009596929,E:2N,5N,1.1643125491452369,10.427490871152843,3.321928094887362
5,2.0,4.0,4.0,3.0,3.0,3.0,0.6506575413325906,0.3295266896126375,0.0198157690547719,E:2N,5N,1.9745215238785248,32.83534136546185,3.169925001442312
6,3.0,3.0,3.0,3.0,2.0,4.0,0.5705179894789387,0.3808317014168874,0.0486503091041738,E:2N,5N,1.49808429118774,11.72691397000791,3.0
7,3.0,3.0,3.0,3.0,2.0,3.0,0.6059088713572693,0.3549991949766543,0.0390919336660763,E:2N,5N,1.706789423556624,15.499588138385509,3.0
8,2.0,3.0,4.0,3.0,4.0,3.0,0.5280971797006165,0.4291398016337702,0.0427630186656132,E:2N,5N,1.2305947332084033,12.34938964038272,3.321928094887362
9,2.0,3.0,4.0,3.0,3.0,4.0,0.5832524968234667,0.3809380678480182,0.035809435328515,E:2N,5N,1.5310953303206372,16.28767645936666,3.169925001442312
10,3.0,4.0,3.0,3.0,5.0,3.0,0.5253447377799709,0.4123009019382076,0.0623543602818214,E:2N,5N,1.2741779979387613,8.42514838426028,3.4594316186372973
11,2.0,3.0,3.0,3.0,2.0,4.0,0.5982592762253779,0.3663800697699003,0.0353606540047218,E:2N,5N,1.6328925222409232,16.918784255107127,2.807354922057604
12,3.0,3.0,3.0,3.0,3.0,3.0,0.5059595702752527,0.4280242832623482,0.066016146462399,E:2N,5N,1.1820814614042254,7.664179104477622,3.169925001442312
13,2.0,3.0,4.0,3.0,2.0,3.0,0.6241179747462243,0.3462645456796236,0.029617479574152,E:2N,5N,1.8024310676140682,21.072622779519346,3.0
14,3.0,4.0,3.0,4.0,5.0,3.0,0.5220278906571669,0.4272211381822738,0.0507509711605592,E:2N,5N,1.2219149381940082,10.286067019400363,3.4594316186372973
15,3.0,3.0,3.0,3.0,3.0,3.0,0.4930717440092666,0.4498950264243828,0.0570332295663505,E:2N,5N,1.095970648815654,8.645341457222651,3.169925001442312
16,4.0,4.0,3.0,3.0,3.0,3.0,0.5620505488035662,0.4044324824424912,0.0335169687539425,E:2N,5N,1.3897265259436418,16.769134253450467,3.321928094887362
17,3.0,3.0,3.0,3.0,4.0,3.0,0.5952729597624106,0.3856703858766267,0.0190566543609627,E:2N,5N,1.543475935828877,31.237012987013042,3.321928094887362
