,InA,OutA,InB,OutB,InC,OutC,PosL,NegL,TotL,MPosL,MNegL,MTotL
0,5,4,5,3,2,3,11,11,22,2,10,12
1,2,3,2,3,2,4,3,2,5,0,2,2
2,3,3,3,4,4,3,10,8,18,4,5,9
3,2,4,5,4,4,3,14,13,27,7,8,15
4,2,4,3,3,4,3,11,9,20,4,6,10
5,5,3,4,3,2,4,15,12,27,7,7,14
6,5,4,2,4,2,3,9,8,17,4,4,8
7,3,5,2,3,5,4,9,10,19,4,5,9
8,4,3,4,3,3,4,6,5,11,0,5,5
9,2,3,2,3,4,4,5,4,9,1,3,4
10,3,3,5,3,3,4,6,5,11,1,4,5
11,2,4,2,6,3,3,5,4,9,1,3,4
12,3,3,3,4,5,3,21,18,39,5,14,19
13,3,4,3,3,2,4,7,6,13,1,5,6
14,3,4,3,5,4,3,16,15,31,8,7,15
15,3,3,3,3,4,3,10,7,17,4,5,9
16,5,3,3,3,5,3,7,10,17,2,6,8
17,4,4,2,3,4,5,5,4,9,1,3,4
18,2,3,5,3,3,4,6,5,11,2,3,5
19,2,3,4,3,3,3,8,7,15,2,5,7
20,2,3,5,3,3,4,10,9,19,4,5,9
21,3,4,3,4,2,3,9,8,17,2,6,8
22,4,3,2,4,3,4,8,7,15,2,5,7
23,3,4,3,3,4,4,13,12,25,4,8,12
24,4,3,2,4,5,3,9,6,15,4,4,8
25,3,4,2,3,4,4,11,9,20,4,5,9
26,5,4,4,4,4,3,20,10,30,10,6,16
27,3,3,3,3,2,4,8,7,15,0,7,7
28,3,3,5,3,2,3,10,9,19,3,6,9
29,5,5,2,4,2,3,11,10,21,5,5,10
30,3,3,4,3,3,3,7,6,13,1,5,6
31,3,5,4,3,2,3,12,10,22,6,7,13
32,5,3,4,4,2,3,5,4,9,0,4,4
33,4,4,2,3,4,4,17,16,33,10,7,17
34,3,3,4,4,4,4,8,8,16,4,4,8
35,3,3,3,3,4,3,21,15,36,9,9,18
36,3,3,3,5,5,4,7,6,13,2,5,7
37,2,4,5,4,3,3,11,11,22,5,7,12
38,5,3,4,4,2,3,12,11,23,4,8,12
39,2,4,2,4,3,3,13,12,25,5,7,12
40,4,4,4,3,2,3,10,10,20,3,7,10
41,5,3,4,3,4,4,12,9,21,4,7,11
42,2,4,3,3,4,3,14,13,27,9,5,14
43,3,4,3,3,5,4,19,18,37,10,11,21
44,3,3,4,4,3,3,19,21,40,7,14,21
45,2,3,5,3,2,3,7,6,13,2,4,6
46,4,3,2,3,5,3,16,15,31,8,7,15
47,4,3,5,4,3,3,17,16,33,7,11,18
48,2,3,5,4,3,3,9,7,16,2,6,8
49,4,4,5,4,3,4,12,15,27,2,13,15
50,4,4,3,4,2,4,10,7,17,5,4,9
51,3,3,2,3,4,3,10,11,21,3,7,10
52,2,4,2,7,2,3,3,2,5,0,2,2
53,3,4,3,4,5,4,10,9,19,5,5,10
54,4,4,3,3,2,4,14,12,26,8,5,13
55,3,3,4,4,3,3,13,10,23,6,6,12
56,3,4,3,3,4,5,21,21,42,7,15,22
57,6,3,4,3,3,4,21,18,39,9,12,21
58,3,4,3,4,2,4,15,11,26,7,6,13
59,2,4,2,4,2,4,3,2,5,0,2,2
60,2,3,5,3,3,3,7,6,13,2,4,6
61,4,3,3,3,3,4,15,15,30,8,8,16
62,6,3,4,3,4,3,15,13,28,5,9,14
63,4,4,3,3,2,3,14,18,32,1,16,17
64,2,3,3,3,2,4,10,9,19,3,6,9
65,3,3,6,4,2,4,18,17,35,10,9,19
66,3,3,2,3,2,3,3,2,5,0,2,2
67,3,3,4,3,4,4,11,10,21,3,7,10
68,3,3,4,3,3,3,8,8,16,1,7,8
69,2,4,3,3,2,3,8,7,15,3,4,7
70,4,4,4,3,3,4,6,5,11,1,4,5
71,5,3,5,4,4,4,18,16,34,8,9,17
72,2,3,4,4,5,4,14,13,27,4,9,13
73,3,4,4,3,3,3,4,3,7,1,2,3
74,2,4,2,4,4,3,8,7,15,5,2,7
75,5,3,3,5,2,3,11,10,21,5,5,10
76,3,3,3,4,3,4,12,11,23,3,9,12
77,2,3,3,4,3,3,10,9,19,4,5,9
78,4,4,3,4,3,3,12,12,24,0,12,12
79,3,3,4,3,2,3,9,10,19,0,10,10
80,4,4,2,3,3,3,13,9,22,6,5,11
81,3,3,5,5,3,4,14,14,28,5,9,14
82,3,3,3,4,3,3,17,16,33,8,9,17
83,4,3,3,4,5,4,9,7,16,5,3,8
84,2,4,3,3,3,5,16,15,31,6,9,15
85,3,3,4,3,4,3,17,15,32,9,8,17
86,2,3,3,4,4,4,18,19,37,10,8,18
87,2,4,4,4,3,4,12,11,23,5,7,12
88,3,3,4,3,3,5,14,13,27,5,8,13
89,3,3,4,4,7,3,16,14,30,8,8,16
90,3,3,2,3,3,4,10,11,21,4,5,9
91,2,3,2,4,3,4,9,8,17,3,5,8
92,5,5,3,5,3,3,16,15,31,7,8,15
93,4,3,3,4,3,4,9,9,18,4,5,9
94,2,4,4,3,3,5,16,16,32,7,9,16
95,3,3,3,3,2,4,8,7,15,1,6,7
96,4,4,3,3,2,5,12,17,29,7,10,17
97,5,4,3,3,3,3,10,10,20,3,7,10
98,2,3,3,5,5,5,15,14,29,6,8,14
99,2,4,2,3,2,3,3,2,5,0,2,2
