,InA,OutA,InB,OutB,InC,OutC
0,6,7,7,9,6,7
1,8,6,8,8,6,8
2,6,8,7,5,6,9
3,7,7,10,5,6,6
4,5,5,9,8,7,9
5,4,8,5,10,7,6
6,3,7,7,8,8,7
7,9,10,7,6,7,5
8,4,8,4,6,10,6
9,6,4,8,8,7,7
10,8,7,11,8,11,8
11,8,7,5,6,7,9
12,5,9,5,8,4,6
13,8,7,9,8,5,6
14,7,6,6,10,5,6
15,5,6,8,6,6,10
16,10,8,6,4,5,9
17,3,4,12,5,6,10
18,7,8,10,6,4,5
19,8,10,6,8,5,6
20,8,4,7,6,7,10
21,8,5,7,7,10,5
22,10,7,10,8,9,4
23,9,9,5,8,6,4
24,7,5,6,9,8,5
25,9,8,8,6,8,7
26,9,5,7,6,9,6
27,6,7,5,9,7,8
28,7,9,7,5,6,7
29,6,5,6,6,7,4
30,7,11,5,8,6,4
31,5,5,7,5,10,7
32,4,9,9,5,8,4
33,5,8,6,8,6,10
34,6,8,8,8,8,5
35,5,4,4,6,7,9
36,5,8,8,6,6,7
37,5,7,7,5,10,8
38,3,5,7,7,14,6
39,6,9,6,9,7,6
40,8,9,5,6,7,4
41,8,7,7,13,5,5
42,5,9,9,8,8,8
43,6,7,8,6,7,5
44,6,9,8,6,6,11
45,7,7,8,8,6,7
46,5,6,13,7,6,9
47,8,5,4,8,6,8
48,4,8,4,4,5,4
49,6,7,6,8,6,8
50,5,6,6,10,9,6
51,6,5,6,8,4,7
52,6,9,8,7,5,9
53,8,8,8,6,7,10
54,10,7,5,10,8,7
55,9,6,11,6,6,7
56,8,4,10,11,4,8
57,8,6,7,7,10,5
58,9,6,8,8,6,8
59,8,5,11,6,8,6
60,4,9,5,7,6,7
61,4,8,9,8,5,5
62,6,6,9,7,6,9
63,5,6,9,7,7,4
64,6,6,9,4,9,6
65,6,7,7,7,4,3
66,5,10,8,8,9,5
67,5,7,7,9,6,7
68,7,9,10,6,9,5
69,12,10,8,9,6,7
70,8,6,5,8,8,12
71,7,8,4,7,4,6
72,5,9,5,6,8,9
73,11,6,6,5,8,6
74,6,4,8,8,6,4
75,7,5,9,8,5,7
76,7,7,9,6,6,6
77,5,7,5,4,8,9
78,8,8,7,9,12,5
79,5,5,7,7,5,6
80,6,4,8,6,5,5
81,6,8,9,9,6,6
82,5,6,6,8,9,6
83,5,9,7,5,8,7
84,8,7,10,5,7,9
85,9,7,6,6,10,6
86,7,6,8,8,5,8
87,6,6,9,11,5,4
88,5,6,7,7,5,5
89,8,7,4,10,6,5
90,7,6,7,5,6,8
91,4,7,5,7,6,9
92,6,7,5,8,5,4
93,6,7,7,4,5,9
94,7,9,7,8,8,4
95,9,9,5,7,3,8
96,3,7,7,7,6,7
97,8,8,5,6,5,7
98,3,7,7,6,7,5
99,8,8,7,5,9,6
