,RN,PInA,NInA,PInB,NInB,PInC,NInC
0,RN001,1,3,2,2,1,2
1,RN002,2,3,1,3,0,4
2,RN003,1,2,1,3,0,2
3,RN004,0,3,1,2,0,3
4,RN005,2,4,2,2,1,2
5,RN006,0,3,3,4,0,3
6,RN007,0,3,1,2,0,3
7,RN008,0,3,0,3,1,2
8,RN009,1,2,2,4,2,3
9,RN010,1,2,0,4,0,4
10,RN011,0,2,0,4,0,3
11,RN012,0,2,1,3,1,3
12,RN013,2,4,0,2,1,2
13,RN014,1,2,4,3,1,2
14,RN015,0,3,0,3,0,2
15,RN016,0,3,3,2,1,4
16,RN017,1,2,1,3,2,3
17,RN018,1,2,1,3,0,3
18,RN019,1,2,1,2,2,4
19,RN020,0,3,1,2,2,2
20,RN021,2,3,1,4,0,3
21,RN022,1,2,1,2,2,2
22,RN023,1,3,3,4,2,2
23,RN024,0,3,0,3,0,4
24,RN025,1,3,2,3,0,3
25,RN026,1,3,2,2,1,2
26,RN027,0,5,3,2,1,2
27,RN028,1,2,1,2,0,3
28,RN029,1,2,1,3,1,3
29,RN030,2,3,1,2,0,2
30,RN031,1,3,1,2,1,3
31,RN032,0,2,0,3,3,2
32,RN033,0,2,1,4,0,3
33,RN034,3,3,0,3,0,3
34,RN035,1,3,1,2,1,3
35,RN036,0,2,2,3,1,2
36,RN037,0,4,0,3,0,2
37,RN038,1,2,0,2,0,3
38,RN039,0,3,0,2,0,3
39,RN040,0,3,0,3,0,3
40,RN041,2,3,0,3,1,2
41,RN042,1,3,0,4,0,4
42,RN043,2,5,0,4,1,3
43,RN044,0,3,0,2,1,2
44,RN045,0,2,1,3,0,2
45,RN046,0,2,0,3,1,3
46,RN047,0,4,1,4,1,3
47,RN048,0,2,1,3,0,3
48,RN049,2,3,0,2,1,3
49,RN050,1,4,1,4,3,2
50,RN051,0,3,0,2,1,3
51,RN052,1,3,0,5,0,3
52,RN053,1,4,1,2,0,5
53,RN054,1,3,1,2,3,3
54,RN055,0,2,0,2,0,3
55,RN056,0,3,0,2,2,3
56,RN057,1,3,1,3,2,2
57,RN058,0,4,0,4,1,2
58,RN059,0,3,1,5,0,2
59,RN060,1,3,1,2,0,3
60,RN061,1,3,3,2,0,3
61,RN062,1,3,0,3,0,4
62,RN063,0,4,1,2,1,2
63,RN064,0,3,2,2,1,2
64,RN065,1,3,1,2,3,3
65,RN066,2,3,0,3,1,3
66,RN067,1,3,0,2,0,2
67,RN068,0,3,2,2,0,3
68,RN069,1,2,0,5,1,2
69,RN070,0,4,1,2,0,3
70,RN071,1,3,1,2,2,2
71,RN072,0,3,0,2,2,2
72,RN073,1,4,0,3,1,3
73,RN074,0,2,0,4,2,4
74,RN075,0,2,2,2,0,4
75,RN076,4,4,0,3,1,4
76,RN077,1,2,3,4,0,2
77,RN078,2,3,0,2,1,3
78,RN079,1,2,2,5,0,3
79,RN080,0,5,1,3,0,5
80,RN081,0,2,0,3,0,3
81,RN082,1,3,1,2,1,3
82,RN083,1,4,0,3,1,2
83,RN084,0,2,1,2,1,4
84,RN085,0,2,0,4,1,2
85,RN086,0,2,1,3,1,5
86,RN087,3,4,0,3,1,2
87,RN088,0,2,1,3,1,2
88,RN089,1,3,0,2,0,2
89,RN090,1,3,0,3,1,3
90,RN091,2,2,0,3,1,2
91,RN092,1,3,1,3,0,2
92,RN093,1,2,2,2,0,3
93,RN094,0,2,1,2,0,3
94,RN095,2,2,2,2,0,2
95,RN096,2,2,0,2,2,3
96,RN097,2,3,1,3,2,2
97,RN098,0,3,1,2,0,2
98,RN099,0,2,1,3,0,3
99,RN100,0,2,3,3,1,4
