,InA,InB,InC,ConPr,STD ConPr,CC AB,STD CC AB,CC BC,STD CC BC,CC AC,STD CC AC
0,2,2,2,0.696,0.003,-0.385,0.012,-0.413,0.018,-0.396,0.011
1,2,2,3,0.653,0.024,-0.374,0.039,-0.425,0.118,-0.403,0.111
2,2,2,4,0.606,0.032,-0.45,0.048,-0.362,0.132,-0.369,0.142
3,2,2,5,0.627,0.025,-0.366,0.048,-0.444,0.186,-0.358,0.197
4,2,3,2,0.63,0.025,-0.364,0.063,-0.363,0.067,-0.449,0.035
5,2,3,3,0.558,0.022,-0.46,0.133,-0.359,0.184,-0.331,0.141
6,2,3,4,0.574,0.039,-0.396,0.099,-0.42,0.087,-0.348,0.131
7,2,3,5,0.575,0.058,-0.451,0.077,-0.315,0.158,-0.422,0.111
8,2,4,2,0.638,0.011,-0.3,0.1,-0.495,0.087,-0.401,0.015
9,2,4,3,0.596,0.042,-0.424,0.161,-0.35,0.263,-0.402,0.165
10,2,4,4,0.548,0.027,-0.34,0.165,-0.424,0.214,-0.375,0.135
11,2,4,5,0.55,0.053,-0.37,0.151,-0.348,0.057,-0.433,0.108
12,2,4,6,0.575,0.023,-0.44,0.053,-0.271,0.037,-0.458,0.09
13,2,5,2,0.602,0.025,-0.453,0.108,-0.316,0.1,-0.42,0.031
14,2,5,3,0.585,0.036,-0.383,0.164,-0.362,0.212,-0.425,0.18
15,2,5,4,0.582,0.025,-0.356,0.182,-0.334,0.288,-0.489,0.114
16,2,5,5,0.658,0.0,-0.31,0.0,-0.672,0.0,-0.247,0.0
17,2,5,6,0.569,0.0,-0.576,0.0,-0.141,0.0,-0.443,0.0
18,2,6,3,0.634,0.021,-0.539,0.038,-0.286,0.04,-0.376,0.017
19,2,6,4,0.57,0.0,-0.453,0.0,-0.328,0.0,-0.444,0.0
20,2,6,6,0.56,0.063,-0.505,0.141,-0.062,0.402,-0.582,0.186
21,2,7,4,0.546,0.017,-0.61,0.036,-0.066,0.028,-0.49,0.009
22,2,7,5,0.534,0.0,-0.524,0.0,-0.055,0.0,-0.579,0.0
23,3,2,2,0.649,0.023,-0.311,0.117,-0.388,0.031,-0.498,0.1
24,3,2,3,0.589,0.024,-0.401,0.062,-0.429,0.043,-0.344,0.074
25,3,2,4,0.576,0.043,-0.392,0.135,-0.385,0.148,-0.379,0.274
26,3,2,5,0.551,0.024,-0.51,0.116,-0.339,0.075,-0.311,0.142
27,3,2,6,0.561,0.033,-0.287,0.065,-0.515,0.144,-0.391,0.115
28,3,3,2,0.588,0.034,-0.43,0.141,-0.301,0.13,-0.428,0.139
29,3,3,3,0.539,0.033,-0.354,0.157,-0.39,0.141,-0.393,0.169
30,3,3,4,0.525,0.041,-0.367,0.234,-0.374,0.256,-0.374,0.181
31,3,3,5,0.51,0.021,-0.259,0.258,-0.407,0.212,-0.391,0.146
32,3,3,6,0.507,0.022,-0.334,0.151,-0.305,0.253,-0.292,0.155
33,3,3,7,0.536,0.041,-0.224,0.15,-0.402,0.058,-0.515,0.185
34,3,4,2,0.563,0.027,-0.422,0.298,-0.376,0.109,-0.31,0.231
35,3,4,3,0.522,0.031,-0.374,0.147,-0.43,0.177,-0.301,0.218
36,3,4,4,0.501,0.03,-0.502,0.106,-0.244,0.145,-0.335,0.2
37,3,4,5,0.494,0.033,-0.337,0.213,-0.272,0.242,-0.403,0.143
38,3,4,6,0.512,0.026,-0.426,0.189,-0.249,0.074,-0.458,0.256
39,3,4,7,0.48,0.0,-0.099,0.0,0.001,0.0,-0.686,0.0
40,3,5,2,0.567,0.037,-0.309,0.33,-0.415,0.165,-0.423,0.147
41,3,5,3,0.541,0.034,-0.327,0.185,-0.44,0.078,-0.383,0.161
42,3,5,4,0.51,0.034,-0.527,0.176,-0.218,0.326,-0.322,0.264
43,3,5,5,0.509,0.029,-0.445,0.145,-0.15,0.23,-0.389,0.235
44,3,5,6,0.506,0.0,-0.497,0.0,-0.094,0.0,-0.502,0.0
45,3,6,2,0.55,0.02,-0.072,0.118,-0.53,0.054,-0.558,0.064
46,3,6,3,0.537,0.028,-0.504,0.016,-0.166,0.207,-0.401,0.095
47,3,6,4,0.49,0.024,-0.259,0.26,-0.381,0.25,-0.388,0.311
48,3,6,5,0.573,0.031,-0.353,0.237,-0.408,0.181,-0.409,0.102
49,3,6,6,0.553,0.036,-0.431,0.203,-0.291,0.098,-0.329,0.042
50,3,6,7,0.466,0.0,-0.517,0.0,0.01,0.0,-0.385,0.0
51,3,7,2,0.57,0.0,-0.319,0.0,-0.407,0.0,-0.445,0.0
52,3,7,3,0.522,0.022,-0.346,0.152,-0.38,0.132,-0.378,0.213
53,3,7,4,0.562,0.054,-0.677,0.018,-0.258,0.117,-0.19,0.247
54,3,7,5,0.413,0.0,-0.428,0.0,-0.606,0.0,-0.202,0.0
55,3,7,6,0.465,0.032,-0.475,0.175,-0.338,0.314,-0.29,0.167
56,3,7,7,0.48,0.015,-0.429,0.143,-0.526,0.055,-0.007,0.025
57,4,2,2,0.629,0.01,-0.391,0.065,-0.414,0.046,-0.4,0.087
